date,player,market,line,book,projection,edge_pct,bet,confidence,role,game,odds,stake,result,profit
2026-02-28,Grant Williams,PTS,2.5,FanDuel,10.2,307.2,OVER,,Rotation,Portland Trail Blazers @ Charlotte Hornets,1.88,0.0,Pending,0
2026-02-28,Jrue Holiday,REB,1.5,FanDuel,3.9,157.1,OVER,,Rotation,Portland Trail Blazers @ Charlotte Hornets,1.72,0.0,Pending,0
2026-02-28,Kon Knueppel,PTS,11.5,DraftKings,26.7,132.2,OVER,,Starter,Portland Trail Blazers @ Charlotte Hornets,2.0,0.0,Pending,0
2026-02-28,Vit Krejci,PTS,4.5,FanDuel,9.8,117.9,OVER,,Rotation,Portland Trail Blazers @ Charlotte Hornets,2.06,0.0,Pending,0
2026-02-28,Bilal Coulibaly,3PTM,0.5,DraftKings,1.1,114.9,OVER,,Rotation,Toronto Raptors @ Washington Wizards,1.71,0.0,Pending,0
2026-02-28,Kon Knueppel,3PTM,2.5,DraftKings,5.3,111.7,OVER,,Starter,Portland Trail Blazers @ Charlotte Hornets,2.3,0.0,Pending,0
2026-02-28,Amen Thompson,3PTM,0.5,BetMGM,0.1,79.0,UNDER,,Starter,Houston Rockets @ Miami Heat,3.6,0.0,Pending,0
2026-02-28,Brandon Ingram,3PTM,1.5,FanDuel,2.5,63.8,OVER,,Starter,Toronto Raptors @ Washington Wizards,1.77,0.0,Pending,0
2026-02-28,Josh Okogie,REB,4.5,Bovada,1.7,61.5,UNDER,,Rotation,Houston Rockets @ Miami Heat,2.4,0.0,Pending,0
2026-02-28,Cody Williams,PTS,11.5,Bovada,5.0,56.1,UNDER,,Rotation,New Orleans Pelicans @ Utah Jazz,3.05,0.0,Pending,0
