date,game,market,pick,line,proj,edge,book,odds,stake,result,profit
2026-03-01,San Antonio Spurs @ New York Knicks,TOTAL,OVER 228.5,228.5,232.3,3.8,FanDuel,1.94,1,Pending,0
2026-03-01,Milwaukee Bucks @ Chicago Bulls,SPREAD,Bucks -3.0,-3.0,Bucks -6.4,3.4,FanDuel,1.94,1,Pending,0
2026-03-01,Portland Trail Blazers @ Atlanta Hawks,SPREAD,Blazers +6.0,6.0,Hawks -1.3,4.7,FanDuel,1.89,1,Pending,0
2026-03-01,Philadelphia 76ers @ Boston Celtics,SPREAD,76ers +9.5,9.5,Celtics -5.1,4.4,FanDuel,1.91,1,Pending,0
2026-03-01,Philadelphia 76ers @ Boston Celtics,TOTAL,UNDER 220.5,220.5,215.5,5.0,FanDuel,1.91,1,Pending,0
2026-03-01,Detroit Pistons @ Orlando Magic,TOTAL,OVER 223.5,223.5,227.4,3.9,FanDuel,1.88,1,Pending,0
2026-03-01,Oklahoma City Thunder @ Dallas Mavericks,SPREAD,Mavericks +15.5,15.5,Thunder -7.0,8.5,FanDuel,1.94,1,Pending,0
2026-03-01,Oklahoma City Thunder @ Dallas Mavericks,TOTAL,UNDER 234.5,234.5,230.9,3.6,FanDuel,1.91,1,Pending,0
2026-03-01,Sacramento Kings @ Los Angeles Lakers,SPREAD,Kings +13.0,13.0,Lakers -9.1,3.9,FanDuel,1.91,1,Pending,0
2026-03-01,Sacramento Kings @ Los Angeles Lakers,TOTAL,UNDER 233.5,233.5,227.4,6.1,FanDuel,1.94,1,Pending,0
