game_id,score,grade,stake,recommendation
Toronto Raptors @ Cleveland Cavaliers — James Harden UNDER 4.5 REB — BetMGM,0.7512987012987014,A,1.0,support
Toronto Raptors @ Cleveland Cavaliers — Evan Mobley UNDER 0.5 3PTM — BetOnline.ag,0.7337201699901926,B,0.5,support
Houston Rockets @ Los Angeles Lakers — Deandre Ayton UNDER 7.5 REB — FanDuel,0.7308862433862433,B,0.5,support
Toronto Raptors @ Cleveland Cavaliers — OVER 218.0 — Fanatics,0.7238095238095237,B,0.5,support
Houston Rockets @ Los Angeles Lakers — OVER 208.5 — BetRivers,0.7238095238095237,B,0.5,support
Houston Rockets @ Los Angeles Lakers — Reed Sheppard UNDER 15.5 PTS — Bovada,0.6303571428571428,C,0.0,support
Houston Rockets @ Los Angeles Lakers — Marcus Smart OVER 4.5 AST — FanDuel,0.6303571428571428,C,0.0,support
Houston Rockets @ Los Angeles Lakers — Rui Hachimura OVER 13.5 PTS — BetRivers,0.5975800647715006,C,0.0,support
Houston Rockets @ Los Angeles Lakers — Jaxson Hayes OVER 5.5 PTS — FanDuel,0.5770525451559934,C,0.0,support
Orlando Magic @ Detroit Pistons — Jalen Duren UNDER 10.5 REB — BetMGM,0.5611585782638414,C,0.0,support
Orlando Magic @ Detroit Pistons — Paolo Banchero OVER 4.5 AST — BetRivers,0.5611585782638414,C,0.0,support
Orlando Magic @ Detroit Pistons — OVER 211.5 — Fanatics,0.5345238095238095,PASS,0.0,support
Orlando Magic @ Detroit Pistons — Duncan Robinson OVER 10.5 PTS — BetRivers,0.4321428571428571,PASS,0.0,support
Orlando Magic @ Detroit Pistons — Magic +10.0 — Fanatics,0.428407224958949,PASS,0.0,support
Toronto Raptors @ Cleveland Cavaliers — Raptors +9.0 — Fanatics,0.428407224958949,PASS,0.0,support
Orlando Magic @ Detroit Pistons — Detroit Pistons ML — LowVig.ag,0.07495479204339961,PASS,0.0,abstain
