date,game,market,pick,line,proj,edge,book,odds,stake,result,profit,injury_notes,home_ml_prob,away_ml_prob,home_ml_edge,away_ml_edge,ml_candidate,grade,edge_pct,line_movement_flag,sharp_flag,divergence_flag,conflict_flag,backfill_source
2026-03-17,Miami Heat @ Charlotte Hornets,TOTAL,OVER 234.5,234.5,241.3,6.8,BetMGM,1.95,0.5,Pending,0,,0.8843,0.1157,21.76,-23.51,,B,6.8,—,—,—,—,api_backfill
2026-03-17,Detroit Pistons @ Washington Wizards,SPREAD,Wizards +19.5,19.5,Washington Wizards -14.6,4.9,Caesars,1.91,0.0,Pending,0,,0.1288,0.8712,5.74,-7.22,,C,4.9,—,—,—,—,
2026-03-17,Detroit Pistons @ Washington Wizards,TOTAL,OVER 232.5,232.5,235.8,3.3,Caesars,1.91,0.0,Pending,0,,0.1288,0.8712,5.74,-7.22,,C,3.3,—,—,—,—,
2026-03-17,Oklahoma City Thunder @ Orlando Magic,SPREAD,Magic +9.5,9.5,Orlando Magic -2.1,7.4,DraftKings,1.95,0.5,Pending,0,,0.6331,0.3669,41.57,-43.95,,B,7.4,—,—,—,—,
2026-03-17,Indiana Pacers @ New York Knicks,MONEYLINE,New York Knicks ML,,98.7% win prob,9.4,BetUS,1.12,1.0,Pending,0,,0.9872,0.0128,9.44,-12.18,New York Knicks ML,A,9.4,—,—,—,—,
2026-03-17,Indiana Pacers @ New York Knicks,TOTAL,OVER 221.5,221.5,227.0,5.5,DraftKings,1.93,0.5,Pending,0,,0.9872,0.0128,9.44,-12.18,New York Knicks ML,B,5.5,—,—,—,—,api_backfill
2026-03-17,Cleveland Cavaliers @ Milwaukee Bucks,SPREAD,Bucks +10.5,10.5,Milwaukee Bucks -1.6,8.9,Caesars,1.95,0.5,Pending,0,,0.6557,0.3443,44.52,-48.21,,B,8.9,—,—,—,—,
2026-03-17,Cleveland Cavaliers @ Milwaukee Bucks,TOTAL,UNDER 228.5,228.5,217.8,10.7,DraftKings,1.93,1.0,Pending,0,,0.6557,0.3443,44.52,-48.21,,A,10.7,—,—,—,—,api_backfill
2026-03-17,Phoenix Suns @ Minnesota Timberwolves,TOTAL,UNDER 222.0,222.0,205.2,16.8,FanDuel,1.94,1.0,Pending,0,,0.8306,0.1694,23.18,-23.88,,A,16.8,—,—,—,—,api_backfill
2026-03-17,Philadelphia 76ers @ Denver Nuggets,SPREAD,76ers +15.5,15.5,Philadelphia 76ers -3.6,11.9,LowVig.ag,1.94,1.0,Pending,0,,0.8452,0.1548,-7.22,4.49,,A,11.9,—,—,—,—,api_backfill
2026-03-17,Philadelphia 76ers @ Denver Nuggets,TOTAL,OVER 236.0,236.0,244.9,8.9,DraftKings,1.95,0.5,Pending,0,,0.8452,0.1548,-7.22,4.49,,B,8.9,—,—,—,—,api_backfill
2026-03-17,San Antonio Spurs @ Sacramento Kings,SPREAD,Kings +13.5,13.5,Sacramento Kings -6.2,7.3,LowVig.ag,1.94,0.5,Pending,0,,0.4432,0.5568,31.16,-33.61,,B,7.3,—,—,—,—,api_backfill
